variety,Grape
White Blend,White
Portuguese Red,Red
Pinot Gris,White
Riesling,White
Pinot Noir,Red
Tempranillo-Merlot,Red
Frappato,Red
Gewürztraminer,White
Cabernet Sauvignon,Red
Nerello Mascalese,Red
Chardonnay,White
Malbec,Red
Tempranillo Blend,Red
Meritage,Red
Red Blend,Red
Merlot,Red
Nero d'Avola,Red
Chenin Blanc,White
Gamay,Red
Sauvignon Blanc,White
Viognier-Chardonnay,White
Primitivo,Red
Catarratto,White
Inzolia,White
Petit Verdot,Red
Monica,Red
Bordeaux-style White Blend,White
Grillo,White
Sangiovese,Red
Cabernet Franc,Red
Champagne Blend,Red
Bordeaux-style Red Blend,Red
Aglianico,Red
Petite Sirah,Red
Touriga Nacional,Red
Carmenère,Red
Albariño,White
Petit Manseng,White
Rosé,Red
Zinfandel,Red
Vernaccia,White
Rosato,Red
Grüner Veltliner,White
Viognier,White
Vermentino,White
Grenache Blanc,White
Syrah,Red
Nebbiolo,Red
Shiraz-Cabernet Sauvignon,Red
Pinot Blanc,White
Alsace white blend,White
Barbera,Red
Rhône-style Red Blend,Red
Portuguese White,White
Graciano,Red
Tannat-Cabernet,Red
Sauvignon,Red
Sangiovese Grosso,Red
Torrontés,Red
Prugnolo Gentile,Red
G-S-M,Red
Verdejo,White
Fumé Blanc,White
Furmint,White
Pinot Bianco,White
Bonarda,Red
Shiraz,Red
Montepulciano,Red
Moscato,White
Grenache,Red
Ugni Blanc-Colombard,White
Syrah-Viognier,Red
Blaufränkisch,Red
Friulano,White
Assyrtico,White
Carignan-Grenache,Red
Sagrantino,Red
Savagnin,White
Cabernet Sauvignon-Syrah,Red
Prosecco,White
Vignoles,White
Sparkling Blend,White
Muscat,White
Muscadelle,White
Shiraz-Viognier,White
Garganega,White
Pinot Grigio,White
Tempranillo,Red
Zierfandler,White
Cortese,White
Mencía,Red
Zweigelt,Red
Melon,White
Rhône-style White Blend,White
Vidal,White
Cannonau,Red
Verdelho,White
Marsanne,White
Scheurebe,White
Kerner,White
Syrah-Grenache,Red
Dolcetto,Red
Vilana,White
Glera,White
Viura,White
Garnacha Tintorera,Red
Pinot Nero,Red
Roter Veltliner,White
Pinotage,Red
Sémillon,White
Pinot Noir-Gamay,Red
Antão Vaz,White
Cabernet Sauvignon-Carmenère,Red
Verdejo-Viura,White
Verduzzo,White
Verdicchio,White
Silvaner,White
Colombard,White
Carricante,White
Sylvaner,White
Fiano,White
Früburgunder,Red
Sousão,Red
Roussanne,White
Avesso,White
Cinsault,Red
Chinuri,White
Tinta Miúda,Red
Muscat Blanc à Petits Grains,White
Portuguese Sparkling,White
Monastrell,Red
Xarel-lo,White
Greco,White
Trebbiano,White
"Corvina, Rondinella, Molinara",Unknown
Port,White
Chenin Blanc-Chardonnay,White
Insolia,White
Merlot-Malbec,Red
Ribolla Gialla,White
Cabernet Sauvignon-Merlot,Red
Duras,Red
Weissburgunder,White
Roditis,Red
Traminer,White
Papaskarasi,Red
Tannat-Syrah,Red
Marsanne-Roussanne,White
Charbono,Red
Merlot-Argaman,Red
Prié Blanc,White
Sherry,White
Provence red blend,Red
Tannat,Red
Zibibbo,White
Falanghina,White
Garnacha,Red
Negroamaro,Red
Mourvèdre,Red
Syrah-Cabernet,Red
Müller-Thurgau,White
Pinot Meunier,Red
Cabernet Sauvignon-Sangiovese,Red
Austrian Red Blend,Red
Teroldego,Red
Pansa Blanca,Red
Muskat Ottonel,White
Sauvignon Blanc-Semillon,White
Claret,White
Semillon-Sauvignon Blanc,White
Bical,White
Moscatel,White
Rosado,Red
Viura-Chardonnay,White
Baga,Red
Malvasia Bianca,White
Gelber Muskateller,White
Malbec-Merlot,Red
Monastrell-Syrah,Red
Malbec-Tannat,Red
Malbec-Cabernet Franc,Red
Turbiana,White
Refosco,Red
Alvarinho,White
Manzoni,White
Aragonês,Red
Agiorgitiko,Red
Malagousia,White
Assyrtiko,White
Ruché,Red
Welschriesling,White
Tinta de Toro,Red
Cabernet Moravia,Red
Rieslaner,White
Traminette,White
Chambourcin,Red
Nero di Troia,Red
Lambrusco di Sorbara,Red
Cesanese,Red
Feteasca Neagra,Red
Lagrein,Red
Tinta Fina,Red
St. Laurent,Red
Marsanne-Viognier,White
Cabernet Sauvignon-Shiraz,Red
Syrah-Cabernet Sauvignon,Red
Gewürztraminer-Riesling,White
Pugnitello,Red
Cerceal,White
Touriga Nacional Blend,Red
Austrian white blend,White
Tocai,Unknown
Tinta Roriz,Red
Chardonnay-Viognier,White
Fernão Pires,White
Cabernet Franc-Cabernet Sauvignon,Red
Grenache-Syrah,Red
Seyval Blanc,White
Muscat Canelli,White
Cabernet Merlot,Red
Tempranillo-Cabernet Sauvignon,Red
Arinto,White
Aragonez,Red
Merlot-Cabernet Franc,Red
Syrah-Petite Sirah,Red
Cabernet Blend,Red
Maturana,Red
Pecorino,White
Rotgipfler,White
Kinali Yapincak,White
Cabernet Franc-Carmenère,Red
Magliocco,Red
Gamay Noir,Red
Sauvignon Gris,White
Spätburgunder,Red
Picpoul,White
Vidal Blanc,White
Albanello,White
White Port,White
Arneis,White
Malvasia,White
Plavac Mali,Red
Lemberger,Red
Saperavi,Red
Altesse,White
Blanc du Bois,White
Provence white blend,White
Nosiola,White
Dornfelder,Red
Roussanne-Viognier,White
Ojaleshi,White
Godello,White
Mondeuse,Red
Perricone,Red
Pedro Ximénez,White
Auxerrois,White
Syrah-Merlot,Red
Albana,White
Muskat,White
Lambrusco,Red
Cabernet Sauvignon-Malbec,Red
Tinto Fino,Red
Malbec-Cabernet Sauvignon,Red
Moschofilero,White
Grechetto,White
Encruzado,White
Carignano,Red
Cabernet Franc-Merlot,Red
Torbato,White
Syrah-Petit Verdot,Red
Garnacha Blanca,White
Pallagrello,White
Morava,White
Syrah-Mourvèdre,Red
Aleatico,Red
Carcajolu,Red
Kisi,White
Shiraz-Grenache,Red
Palomino,White
Grenache-Carignan,Red
Nascetta,White
Siria,White
Malbec-Syrah,Red
Asprinio,White
Feteascǎ Regalǎ,White
Lambrusco Grasparossa,Red
Marselan,Red
Tocai Friulano,White
Schiava,Red
Alfrocheiro,Red
Chardonnay-Semillon,White
Corvina,Red
Norton,Red
Alicante Bouschet,Red
Tokaji,White
Moscadello,White
Cabernet Sauvignon-Tempranillo,Red
Carignan,Red
Loureiro-Arinto,White
Cabernet-Syrah,Red
Sauvignon Blanc-Chardonnay,White
Symphony,White
Edelzwicker,White
Madeira Blend,White
Black Muscat,Red
Grenache Noir,Red
Durella,White
Xinomavro,Red
Tinto del Pais,Red
Merlot-Cabernet Sauvignon,Red
Cercial,White
Johannisberg Riesling,White
Petite Verdot,Red
Passerina,White
Valdiguié,Red
Colombard-Sauvignon Blanc,White
Kangoun,White
Loureiro,White
Posip,White
Uva di Troia,Red
Gros and Petit Manseng,White
Jacquère,White
Kalecik Karasi,Red
Karasakiz,Red
Mourvèdre-Syrah,Red
Negrette,Red
Zierfandler-Rotgipfler,White
Clairette,White
Raboso,Red
